Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
User_Login,200,1145,1117,1215,17.96,0.000%,.97503,0.97,0.40,1023.6
available/shift/0,200,223,217,307,7.69,0.000%,.97962,0.56,0.81,587.0
project/details/v1/0,200,219,214,267,5.04,0.000%,.97963,0.31,0.86,321.0
user/details/0,200,219,214,256,4.67,0.000%,.97963,0.31,0.85,321.0
workstream/0,200,419,217,653,57.20,0.000%,.97865,4.06,0.82,4251.1
project/jobs,200,1142,1108,1204,19.62,0.000%,.97525,2.33,0.85,2443.0
tasking/0,200,1139,1109,1217,18.99,0.000%,.97541,0.80,0.86,839.2
project/login/0,200,222,217,234,3.82,0.000%,.97989,0.29,0.92,298.0
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,200,204,68,2619,409.77,0.000%,.98055,3075.17,3.06,3211431.9
verify/token,200,1137,1106,1205,21.20,0.000%,.98786,1.58,0.84,1635.8
terraform/delegator/config,200,294,249,586,41.12,0.000%,.99198,11.83,0.75,12216.0
terraform/delegator/batch,400,691,227,1206,454.16,0.000%,.43988,1.59,0.45,3698.3
GetBatchDetail_API_delegator/status,200,227,218,256,8.16,0.000%,.99239,1.25,0.75,1289.5
FrameInitilization_Loopcounter,200,0,0,1,0.31,0.000%,.99347,0.00,0.00,.0
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,791,460,219,1205,397.10,0.000%,3.89373,3.18,2.98,836.5
Loop Counter setup,200,0,0,1,0.31,0.000%,.99342,0.00,0.00,.0
terraform/delegator/status,400,251,218,1206,144.45,0.000%,1.98232,2.16,1.86,1115.8
 Classifcationsetup,200,0,0,1,0.29,0.000%,.99333,0.00,0.00,.0
 Counter setup,200,0,0,1,0.26,0.000%,.99333,0.00,0.00,.0
RandomKey Generator,26800,0,0,1,0.27,0.000%,29.93099,0.00,0.00,.0
BeanShell Sampler,26800,0,0,58,0.52,0.000%,29.93119,0.00,0.00,.0
Annotation,26800,1145,1107,2007,42.70,0.000%,29.85956,10.09,122.09,346.0
Comment_FormInput,791,231,218,277,9.42,0.000%,3.63056,1.23,4.43,346.0
Forminput setup,200,0,0,53,3.74,0.000%,.92202,0.00,0.00,.0
Test,200,164672,163271,168039,815.85,0.000%,.21782,701.38,124.52,3297326.2
TOTAL,86382,762,0,168039,7914.05,0.000%,94.07672,1402.75,249.04,15268.6
