Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
User_Login,100,1164,1162,1198,1204,1243,1118,1252,0.000%,.97455,0.98,0.40
available/shift/0,100,227,226,232,233,273,217,328,0.000%,.98431,0.57,0.82
project/details/v1/0,100,224,223,229,231,279,214,293,0.000%,.98439,0.31,0.86
user/details/0,100,223,224,229,232,236,214,269,0.000%,.98461,0.31,0.86
workstream/0,100,428,430,441,497,662,220,683,0.000%,.98269,4.70,0.82
project/jobs,100,1337,1196,1635,2037,3355,1117,3964,0.000%,.97098,2.32,0.85
tasking/0,100,1159,1155,1195,1200,1233,1112,1283,0.000%,.97393,0.80,0.86
project/login/0,100,239,242,254,255,261,219,268,0.000%,.98255,0.27,0.92
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,100,178,86,166,648,1799,68,2683,0.000%,.98396,3067.97,3.07
verify/token,100,1220,1174,1379,1444,2008,1112,2113,0.000%,.99851,1.60,0.85
terraform/delegator/config,100,313,277,359,406,1231,247,1270,0.000%,1.00833,12.03,0.77
terraform/delegator/batch,200,708,486,1170,1187,1205,230,1270,0.000%,.24435,0.88,0.25
GetBatchDetail_API_delegator/status,100,309,231,312,1129,1162,219,1208,0.000%,1.01256,1.27,0.77
FrameInitilization_Loopcounter,100,0,0,1,1,1,0,1,0.000%,1.02461,0.00,0.00
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,396,454,235,1162,1180,1200,219,1247,0.000%,3.97942,3.25,3.06
Loop Counter setup,100,0,0,1,1,1,0,1,0.000%,1.01470,0.00,0.00
terraform/delegator/status,200,405,233,1143,1167,1177,220,1283,0.000%,2.00182,2.19,1.88
 Classifcationsetup,100,0,0,1,1,1,0,1,0.000%,1.01513,0.00,0.00
 Counter setup,100,0,0,1,1,1,0,1,0.000%,1.01512,0.00,0.00
RandomKey Generator,13400,0,0,0,1,1,0,2,0.000%,16.68647,0.00,0.00
BeanShell Sampler,13400,0,0,0,1,1,0,477,0.000%,16.68659,0.00,0.00
Annotation,13400,1176,1168,1209,1238,1401,1108,4135,0.731%,16.69150,5.64,68.33
Comment_FormInput,396,268,234,257,324,1157,220,1283,0.000%,3.12057,1.05,3.82
Forminput setup,100,0,0,0,1,1,0,1,0.000%,.79960,0.00,0.00
Test,100,169763,169528,171549,171833,174201,167127,175725,64.000%,.12076,386.73,69.13
TOTAL,43192,786,0,1184,1200,1286,0,175725,0.375%,52.15726,773.45,138.25
