Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
User_Login,400,1166,1127,1890,50.49,0.000%,.97580,0.99,0.40,1043.5
available/shift/0,400,226,219,277,4.79,0.000%,.97802,0.56,0.82,587.0
project/details/v1/0,400,227,216,1169,65.38,0.000%,.97801,0.31,0.87,321.0
user/details/0,400,226,216,1095,43.88,0.000%,.97801,0.31,0.86,321.0
workstream/0,400,414,220,1345,82.47,0.000%,.97753,3.09,0.83,3234.9
project/jobs,400,1165,1126,1982,61.69,0.000%,.97578,3.04,0.86,3186.0
tasking/0,400,1162,1126,2046,48.81,0.000%,.97583,0.81,0.87,849.5
project/login/0,400,231,219,1209,67.38,0.000%,.97803,0.28,0.93,298.0
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,400,159,72,2527,345.70,0.000%,.97835,3069.89,3.05,3213130.6
verify/token,400,1159,1122,1897,50.37,0.000%,.98141,1.58,0.84,1645.5
terraform/delegator/config,400,264,249,335,14.12,0.000%,.98359,12.03,0.76,12524.0
terraform/delegator/batch,800,709,231,1967,466.59,0.000%,.75739,2.67,0.79,3609.1
GetBatchDetail_API_delegator/status,400,233,222,1346,56.21,0.000%,.97942,1.23,0.75,1290.1
FrameInitilization_Loopcounter,400,0,0,1,0.32,0.000%,.97997,0.00,0.00,.0
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,1600,468,223,2011,407.65,0.000%,3.90214,1.97,3.03,516.0
Loop Counter setup,400,0,0,3,0.34,0.000%,.98003,0.00,0.00,.0
terraform/delegator/status,800,236,222,1351,62.08,0.000%,1.95786,2.13,1.86,1116.0
 Classifcationsetup,400,0,0,1,0.28,0.000%,.98003,0.00,0.00,.0
 Counter setup,400,0,0,1,0.30,0.000%,.98003,0.00,0.00,.0
RandomKey Generator,49200,0,0,72,0.65,0.000%,47.24768,0.00,0.00,.0
BeanShell Sampler,49200,0,0,73,0.66,0.000%,47.24859,0.00,0.00,.0
Annotation,49200,1172,1120,4760,77.24,0.002%,47.14545,15.93,225.77,346.0
Comment_FormInput,1600,467,221,1905,405.14,0.000%,3.85074,1.30,4.72,346.0
Forminput setup,400,0,0,1,0.31,0.000%,.96706,0.00,0.00,.0
Test,400,156515,154902,160777,919.18,0.250%,.37559,1208.15,230.28,3293888.1
TOTAL,159600,784,0,160777,7825.28,0.001%,149.85789,2416.27,460.55,16510.7
