Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
User_Login,200,1145,1145,1169,1174,1190,1117,1215,0.000%,.97503,0.97,0.40
available/shift/0,200,223,222,227,229,234,217,307,0.000%,.97962,0.56,0.81
project/details/v1/0,200,219,219,224,226,228,214,267,0.000%,.97963,0.31,0.86
user/details/0,200,219,220,225,225,233,214,256,0.000%,.97963,0.31,0.85
workstream/0,200,419,426,434,446,639,217,653,0.000%,.97865,4.06,0.82
project/jobs,200,1142,1139,1166,1180,1188,1108,1204,0.000%,.97525,2.33,0.85
tasking/0,200,1139,1140,1164,1166,1183,1109,1217,0.000%,.97541,0.80,0.86
project/login/0,200,222,223,228,229,232,217,234,0.000%,.97989,0.29,0.92
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,200,204,86,134,953,1879,68,2619,0.000%,.98055,3075.17,3.06
verify/token,200,1137,1136,1163,1172,1190,1106,1205,0.000%,.98786,1.58,0.84
terraform/delegator/config,200,294,282,339,364,415,249,586,0.000%,.99198,11.83,0.75
terraform/delegator/batch,400,691,263,1163,1173,1188,227,1206,0.000%,.43988,1.59,0.45
GetBatchDetail_API_delegator/status,200,227,225,241,245,252,218,256,0.000%,.99239,1.25,0.75
FrameInitilization_Loopcounter,200,0,0,1,1,1,0,1,0.000%,.99347,0.00,0.00
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,791,460,230,1143,1162,1182,219,1205,0.000%,3.89373,3.18,2.98
Loop Counter setup,200,0,0,1,1,1,0,1,0.000%,.99342,0.00,0.00
terraform/delegator/status,400,251,227,245,252,1150,218,1206,0.000%,1.98232,2.16,1.86
 Classifcationsetup,200,0,0,0,1,1,0,1,0.000%,.99333,0.00,0.00
 Counter setup,200,0,0,0,1,1,0,1,0.000%,.99333,0.00,0.00
RandomKey Generator,26800,0,0,0,1,1,0,1,0.000%,29.93099,0.00,0.00
BeanShell Sampler,26800,0,0,0,1,1,0,58,0.000%,29.93119,0.00,0.00
Annotation,26800,1145,1140,1168,1181,1210,1107,2007,0.000%,29.85956,10.09,122.09
Comment_FormInput,791,231,229,243,249,268,218,277,0.000%,3.63056,1.23,4.43
Forminput setup,200,0,0,0,1,1,0,53,0.000%,.92202,0.00,0.00
Test,200,164672,164573,165747,166053,166809,163271,168039,0.000%,.21782,701.38,124.52
TOTAL,86382,762,0,1152,1164,1190,0,168039,0.000%,94.07672,1402.75,249.04
