Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
User_Login,400,1166,1161,1182,1187,1235,1127,1890,0.000%,.97580,0.99,0.40
available/shift/0,400,226,225,229,230,244,219,277,0.000%,.97802,0.56,0.82
project/details/v1/0,400,227,223,227,227,230,216,1169,0.000%,.97801,0.31,0.87
user/details/0,400,226,223,228,230,251,216,1095,0.000%,.97801,0.31,0.86
workstream/0,400,414,426,436,452,525,220,1345,0.000%,.97753,3.09,0.83
project/jobs,400,1165,1156,1179,1202,1412,1126,1982,0.000%,.97578,3.04,0.86
tasking/0,400,1162,1158,1175,1181,1215,1126,2046,0.000%,.97583,0.81,0.87
project/login/0,400,231,226,230,231,278,219,1209,0.000%,.97803,0.28,0.93
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,400,159,90,103,186,2434,72,2527,0.000%,.97835,3069.89,3.05
verify/token,400,1159,1154,1175,1184,1215,1122,1897,0.000%,.98141,1.58,0.84
terraform/delegator/config,400,264,260,280,293,326,249,335,0.000%,.98359,12.03,0.76
terraform/delegator/batch,800,709,1133,1175,1183,1216,231,1967,0.000%,.75739,2.67,0.79
GetBatchDetail_API_delegator/status,400,233,230,235,239,274,222,1346,0.000%,.97942,1.23,0.75
FrameInitilization_Loopcounter,400,0,0,1,1,1,0,1,0.000%,.97997,0.00,0.00
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,1600,468,232,1162,1173,1186,223,2011,0.000%,3.90214,1.97,3.03
Loop Counter setup,400,0,0,1,1,1,0,3,0.000%,.98003,0.00,0.00
terraform/delegator/status,800,236,230,236,241,275,222,1351,0.000%,1.95786,2.13,1.86
 Classifcationsetup,400,0,0,0,1,1,0,1,0.000%,.98003,0.00,0.00
 Counter setup,400,0,0,1,1,1,0,1,0.000%,.98003,0.00,0.00
RandomKey Generator,49200,0,0,0,1,1,0,72,0.000%,47.24768,0.00,0.00
BeanShell Sampler,49200,0,0,0,1,1,0,73,0.000%,47.24859,0.00,0.00
Annotation,49200,1172,1160,1183,1206,1628,1120,4760,0.002%,47.14545,15.93,225.77
Comment_FormInput,1600,467,234,1163,1171,1188,221,1905,0.000%,3.85074,1.30,4.72
Forminput setup,400,0,0,1,1,1,0,1,0.000%,.96706,0.00,0.00
Test,400,156515,156382,157713,158020,159517,154902,160777,0.250%,.37559,1208.15,230.28
TOTAL,159600,784,0,1168,1179,1259,0,160777,0.001%,149.85789,2416.27,460.55
