Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
User_Login,500,1159,1125,2158,68.54,0.000%,.97259,0.98,0.40,1034.0
available/shift/0,500,229,218,1312,71.35,0.000%,.97435,0.56,0.81,589.0
project/details/v1/0,500,229,215,1153,88.33,0.000%,.97435,0.31,0.86,321.0
user/details/0,500,224,215,1178,59.92,0.000%,.97435,0.31,0.85,321.0
workstream/0,500,439,218,1620,94.91,0.000%,.97398,3.39,0.82,3565.9
project/jobs,500,1163,1120,2328,109.10,0.000%,.97171,3.09,0.85,3253.0
tasking/0,500,1155,1119,2221,85.51,0.000%,.97165,0.80,0.86,844.6
project/login/0,500,233,218,1351,91.41,0.000%,.97280,0.28,0.92,298.0
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,500,132,68,2506,205.10,0.000%,.97304,3053.22,3.04,3213129.7
verify/token,500,1156,1118,2271,86.38,0.000%,.97563,1.56,0.83,1639.8
terraform/delegator/config,500,270,245,1266,71.69,0.000%,.97736,11.95,0.75,12524.0
terraform/delegator/batch,1000,710,232,1903,463.97,0.000%,.85779,3.02,0.89,3609.6
GetBatchDetail_API_delegator/status,500,239,221,1236,92.04,0.000%,.97748,1.23,0.75,1289.9
FrameInitilization_Loopcounter,500,0,0,1,0.31,0.000%,.97792,0.00,0.00,.0
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,2000,467,222,2247,406.58,0.000%,3.89759,1.96,3.01,516.0
Loop Counter setup,500,0,0,1,0.31,0.000%,.97791,0.00,0.00,.0
terraform/delegator/status,1000,258,222,1414,156.07,0.000%,1.95406,2.13,1.84,1116.0
 Classifcationsetup,500,0,0,2,0.33,0.000%,.97789,0.00,0.00,.0
 Counter setup,500,0,0,1,0.27,0.000%,.97789,0.00,0.00,.0
RandomKey Generator,61500,0,0,90,0.72,0.000%,53.52755,0.00,0.00,.0
BeanShell Sampler,61500,0,0,90,0.86,0.000%,53.52793,0.00,0.00,.0
Annotation,61500,1172,1119,7613,101.93,0.005%,53.43779,18.06,255.64,346.0
Comment_FormInput,2000,467,222,1789,401.91,0.000%,3.80636,1.29,4.65,346.0
Forminput setup,500,0,0,1,0.32,0.000%,.95501,0.00,0.00,.0
Test,500,156587,153858,162754,1174.86,0.600%,.42573,1369.58,260.72,3294269.3
TOTAL,199500,784,0,162754,7829.06,0.003%,169.86241,2739.14,521.43,16512.6
